subscriber_number,fid,created_at_timestamp
1,549521,1748376022.02841
2,451,1748376045.92279
3,240221,1748376049.28516
4,312016,1748376064.00024
5,583095,1748376097.74266
6,266763,1748376100.60336
7,287493,1748376104.62455
8,301577,1748376133.12766
9,237246,1748376137.37863
10,292055,1748376139.93512
11,633202,1748376143.91233
12,188183,1748376145.50377
13,247238,1748376156.38095
14,293958,1748376180.76359
15,502568,1748376213.19082
16,436159,1748376215.19143
17,297636,1748376218.28341
18,192151,1748376228.27333
19,196290,1748376231.85900
20,17937,1748376239.22474
21,265576,1748376241.42145
22,317375,1748376251.48519
23,241848,1748376251.67226
24,273111,1748376255.71585
25,7206,1748376255.78962
26,315607,1748376259.12576
27,333038,1748376259.13039
28,17296,1748376263.69766
29,1050316,1748376275.47212
30,579249,1748376276.48678
31,1050273,1748376283.92351
32,315454,1748376286.16508
33,428642,1748376287.92333
34,641126,1748376287.92908
35,1050786,1748376289.61825
36,953905,1748376294.69669
37,248441,1748376295.30315
38,7122,1748376298.68722
39,414455,1748376298.69367
40,4294,1748376299.28721
41,1050572,1748376300.96827
42,7263,1748376302.71315
43,541859,1748376303.29488
44,252682,1748376304.96687
45,284460,1748376306.68148
46,6373,1748376314.55546
47,394570,1748376319.07193
48,319680,1748376319.85846
49,372588,1748376327.41819
50,521546,1748376331.39501
51,248660,1748376331.41173
52,277700,1748376332.70785
53,4525,1748376334.38494
54,245681,1748376334.38965
55,1093,1748376335.36122
56,326491,1748376335.40019
57,188299,1748376338.39433
58,439861,1748376338.41324
59,439779,1748376339.34795
60,550651,1748376339.34948
61,297648,1748376339.35768
62,509437,1748376339.43288
63,1063433,1748376341.19780
64,287228,1748376341.21248
65,899355,1748376341.22868
66,937457,1748376343.35963
67,22873,1748376343.36236
68,530166,1748376347.37185
69,438877,1748376351.01983
70,933481,1748376351.03600
71,371251,1748376351.38148
72,334140,1748376351.38219
73,504720,1748376351.79115
74,811025,1748376354.00804
75,1074189,1748376354.04078
76,1002795,1748376355.03600
77,440331,1748376355.04211
78,516336,1748376355.75217
79,303045,1748376356.65452
80,986861,1748376357.97769
81,425978,1748376357.98659
82,20435,1748376359.64180
83,15079,1748376361.99991
84,293038,1748376365.99068
85,329500,1748376370.21074
86,334134,1748376370.31196
87,1090614,1748376374.31896
88,20258,1748376374.31979
89,1086500,1748376374.83594
90,192840,1748376374.84372
91,896692,1748376378.21396
92,864405,1748376378.34002
93,345771,1748376378.34344
94,245668,1748376379.09741
95,342565,1748376382.35914
96,246026,1748376383.10070
97,426235,1748376383.11349
98,246963,1748376386.35283
99,408746,1748376387.08195
100,191775,1748376388.65150
101,1089839,1748376389.95455
102,963528,1748376389.96990
103,362387,1748376390.37558
104,1089859,1748376391.12269
105,487321,1748376393.55340
106,483195,1748376393.96268
